ALG	subgraph_noise	connecting_p	edge_noise	precision
Ours (GRD)	0	25	25	0.9888580256546299
Ours (GRD)	5	25	25	1.0
Ours (GRD)	10	25	25	0.8156167150612297
Ours (GRD)	15	25	25	0.7770389922817335
Ours (GRD)	20	25	25	0.5928363852806274
Ours (GRD)	25	25	25	0.4908356290174472
Ours (GRD)	30	25	25	0.3762938775510204
Ours (GRD)	35	25	25	0.34472145275469374
Ours (GRD)	40	25	25	0.3295668549905838
Ours (GRD)	45	25	25	0.17413481404958678
Ours (GRD)	50	25	25	0.3640484429065744
Ours (GRD)	25	0	25	0.5280898876404494
Ours (GRD)	25	5	25	0.5371428571428571
Ours (GRD)	25	10	25	0.5698924731182796
Ours (GRD)	25	15	25	0.591715976331361
Ours (GRD)	25	20	25	0.31051762268693484
Ours (GRD)	25	30	25	0.46291914548404545
Ours (GRD)	25	35	25	0.30420398863955556
Ours (GRD)	25	40	25	0.2471423480715989
Ours (GRD)	25	45	25	0.2464899688386261
Ours (GRD)	25	50	25	0.31577186198691254
Ours (GRD)	25	25	0	0.21307284433783616
Ours (GRD)	25	25	5	0.39656508264462814
Ours (GRD)	25	25	10	0.3636425094645755
Ours (GRD)	25	25	15	0.5566054824296582
Ours (GRD)	25	25	20	0.37479718766901027
Ours (GRD)	25	25	30	0.4813562261533125
Ours (GRD)	25	25	35	0.6625710133439028
Ours (GRD)	25	25	40	0.4725274725274725
Ours (GRD)	25	25	45	0.45245619074978455
Ours (GRD)	25	25	50	0.3795180722891566
Ours (RDM)	0	25	25	0.9833026434880309
Ours (RDM)	5	25	25	1.0
Ours (RDM)	10	25	25	0.9049993687665698
Ours (RDM)	15	25	25	0.8227471682983061
Ours (RDM)	20	25	25	0.6218969924022268
Ours (RDM)	25	25	25	0.5268686868686869
Ours (RDM)	30	25	25	0.40339591836734695
Ours (RDM)	35	25	25	0.44847987414931084
Ours (RDM)	40	25	25	0.3370678923680935
Ours (RDM)	45	25	25	0.16754907024793386
Ours (RDM)	50	25	25	0.32941176470588235
Ours (RDM)	25	0	25	0.5280898876404494
Ours (RDM)	25	5	25	0.5705469387755102
Ours (RDM)	25	10	25	0.5765695456122095
Ours (RDM)	25	15	25	0.6035502958579881
Ours (RDM)	25	20	25	0.3544973544973545
Ours (RDM)	25	30	25	0.4570037858301785
Ours (RDM)	25	35	25	0.3926219531225617
Ours (RDM)	25	40	25	0.2605191743647378
Ours (RDM)	25	45	25	0.2678477644340184
Ours (RDM)	25	50	25	0.2954342653182629
Ours (RDM)	25	25	0	0.2152505996717586
Ours (RDM)	25	25	5	0.3213455578512397
Ours (RDM)	25	25	10	0.32247160627366145
Ours (RDM)	25	25	15	0.6447892766574086
Ours (RDM)	25	25	20	0.3556314223904813
Ours (RDM)	25	25	30	0.5752688172043011
Ours (RDM)	25	25	35	0.6856916369401507
Ours (RDM)	25	25	40	0.49178843134887096
Ours (RDM)	25	25	45	0.5112196367582752
Ours (RDM)	25	25	50	0.3892074321381913
VoG	0	25	25	0.27255703629724415
VoG	5	25	25	0.185582628456003
VoG	10	25	25	0.2540714556242899
VoG	15	25	25	0.21551004042901536
VoG	20	25	25	0.22058051188683866
VoG	25	25	25	0.2363636363636363
VoG	30	25	25	0.2688
VoG	35	25	25	0.16158818097876268
VoG	40	25	25	0.16202240735420856
VoG	45	25	25	0.18595041322314046
VoG	50	25	25	0.23470588235294115
VoG	25	0	25	0.2277490215881833
VoG	25	5	25	0.16006530612244899
VoG	25	10	25	0.25239912128569775
VoG	25	15	25	0.12884702916564544
VoG	25	20	25	0.26455026455026454
VoG	25	30	25	0.19885749053542456
VoG	25	35	25	0.2199993757997566
VoG	25	40	25	0.2319015377867931
VoG	25	45	25	0.1665207800847309
VoG	25	50	25	0.11116894705532421
VoG	25	25	0	0.39641459411690444
VoG	25	25	5	0.1690986570247934
VoG	25	25	10	0.20078420767982694
VoG	25	25	15	0.2155536770921386
VoG	25	25	20	0.1880070308274743
VoG	25	25	30	0.17958723551855707
VoG	25	25	35	0.22327916501519357
VoG	25	25	40	0.15692549209032725
VoG	25	25	45	0.14548820581569794
VoG	25	25	50	0.12338510669182756
