,name,dataset,algorithm,accuracy,time,time-per-pattern,clique-precision,clique-recall,bipartite core-precision,bipartite core-recall,star-precision,star-recall,chain-precision,chain-recall,none-precision,none-recall
0,1-1661934866373,synthetic-6-96-4,MinLA,0.6896551724137931,11780,3926.6666666666665,1.0,1.0,0.0,0.0,0.875,1.0,0.6666666666666666,0.8,0.75,0.15
1,3-1661999533002,synthetic-6-96-4,MinLA,0.603448275862069,61153,20384.333333333332,1.0,1.0,0.0,0.0,0.75,1.0,0.0,0.0,0.75,0.15
2,5-1662002195049,synthetic-6-96-4,MinLA,0.7241379310344828,49863,12465.75,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.42857142857142855,0.5,0.2
3,9-1662010258606,synthetic-6-96-4,MinLA,0.6379310344827587,20308,10154.0,1.0,1.0,0.0,0.0,0.875,1.0,0.0,0.0,1.0,0.16
4,0-1661933688574,synthetic-6-96-4,MinLA,0.5689655172413793,36484,5212.0,0.8076923076923077,1.0,0.0,0.0,0.75,0.4,0.5,0.3333333333333333,0.75,0.23076923076923078
5,11-1662013922332,synthetic-6-96-4,MinLA,0.6551724137931034,61367,12273.4,1.0,1.0,0.0,0.0,0.75,0.75,0.5,0.3333333333333333,0.75,0.2
6,2-1661935567051,synthetic-6-96-4,MinLA,0.6206896551724138,14236,7118.0,1.0,1.0,0.0,0.0,0.75,1.0,0.0,0.0,1.0,0.15384615384615385
7,6-1662003410816,synthetic-6-96-4,MinLA,0.603448275862069,33348,8337.0,1.0,1.0,0.0,0.0,0.75,0.6666666666666666,0.0,0.0,0.75,0.17647058823529413
8,10-1662013153023,synthetic-6-96-4,MinLA,0.6724137931034483,50270,12567.5,1.0,1.0,0.0,0.0,0.75,0.6,0.5,1.0,1.0,0.21052631578947367
9,4-1662000612817,synthetic-6-96-4,MinLA,0.41379310344827586,21767,7255.666666666667,0.5769230769230769,1.0,0.0,0.0,0.75,1.0,0.0,0.0,0.75,0.0967741935483871
10,8-1662009390411,synthetic-6-96-4,MinLA,0.6206896551724138,16815,8407.5,1.0,1.0,0.0,0.0,0.75,1.0,0.0,0.0,1.0,0.15384615384615385
11,7-1662008650057,synthetic-6-96-4,MinLA,0.5172413793103449,31914,10638.0,0.8076923076923077,1.0,0.0,0.0,0.75,1.0,0.0,0.0,0.75,0.12
12,12-1662090291751,synthetic-6-96-4,MinLA,0.6206896551724138,62480,12496.0,1.0,1.0,0.0,0.0,0.875,0.5833333333333334,0.0,0.0,0.75,0.21428571428571427
13,13-1662121289542,synthetic-6-96-4,MinLA,0.6896551724137931,69340,17335.0,1.0,1.0,0.0,0.0,0.75,1.0,0.8333333333333334,0.4166666666666667,0.75,0.21428571428571427
14,14-1662122943293,synthetic-6-96-4,MinLA,0.6551724137931034,80696,20174.0,1.0,1.0,0.0,0.0,0.75,1.0,0.5,0.3333333333333333,0.75,0.17647058823529413
15,1-1661934866373,synthetic-5-90-0,MinLA,0.7666666666666667,16153,5384.333333333333,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.17647058823529413
16,3-1661999533002,synthetic-5-90-0,MinLA,0.7333333333333333,73642,24547.333333333332,1.0,1.0,0.0,0.0,0.75,1.0,1.0,1.0,1.0,0.15789473684210525
17,5-1662002195049,synthetic-5-90-0,MinLA,0.7166666666666667,32831,10943.666666666666,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.7,0.0,0.0
18,9-1662010258606,synthetic-5-90-0,MinLA,0.7666666666666667,17673,5891.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.17647058823529413
19,0-1661933688574,synthetic-5-90-0,MinLA,0.7333333333333333,37809,5401.285714285715,1.0,1.0,0.0,0.0,0.75,0.6,1.0,0.5,1.0,0.375
20,11-1662013922332,synthetic-5-90-0,MinLA,0.7333333333333333,25854,6463.5,1.0,1.0,0.0,0.0,0.75,1.0,1.0,0.7,1.0,0.1875
21,2-1661935567051,synthetic-5-90-0,MinLA,0.7333333333333333,15136,5045.333333333333,1.0,1.0,0.0,0.0,0.75,1.0,1.0,1.0,1.0,0.15789473684210525
22,6-1662003410816,synthetic-5-90-0,MinLA,0.7333333333333333,38023,9505.75,1.0,1.0,0.0,0.0,0.75,1.0,1.0,0.7,1.0,0.1875
23,10-1662013153023,synthetic-5-90-0,MinLA,0.7,34231,8557.75,1.0,1.0,0.0,0.0,0.75,1.0,1.0,0.7777777777777778,0.3333333333333333,0.058823529411764705
24,4-1662000612817,synthetic-5-90-0,MinLA,0.7,30333,6066.6,1.0,1.0,0.0,0.0,0.5,0.5714285714285714,1.0,0.6363636363636364,1.0,0.21428571428571427
25,8-1662009390411,synthetic-5-90-0,MinLA,0.7333333333333333,14652,4884.0,1.0,1.0,0.0,0.0,0.75,1.0,1.0,1.0,1.0,0.15789473684210525
26,7-1662008650057,synthetic-5-90-0,MinLA,0.6333333333333333,17198,8599.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.12
27,12-1662090291751,synthetic-5-90-0,MinLA,0.7666666666666667,32929,8232.25,1.0,1.0,0.0,0.0,1.0,0.7272727272727273,1.0,1.0,1.0,0.21428571428571427
28,13-1662121289542,synthetic-5-90-0,MinLA,0.7,53770,10754.0,1.0,1.0,0.0,0.0,0.75,1.0,1.0,0.5,0.3333333333333333,0.08333333333333333
